id,channelId,userId,guildId,reason,answer1,answer2,answer3,claimedBy,status,createdAt
"cms3n6h7n01zb12z2kwj21jsk","1531388404032340210","1522568928487014451","1502898258610225304",,,,,,"closed","2026-07-27 19:50:47.46"
"cms3n7suk01zi12z2guwt4yzl","1531388662539882808","1522568928487014451","1502898258610225304",,,,,,"closed","2026-07-27 19:51:49.196"
"cms3n9bao01zm12z2nsz8mpaq","1531388958611865701","1522568928487014451","1502898258610225304",,,,,"1522568928487014451","closed","2026-07-27 19:52:59.76"
"cms88k62t003hzayfwqqzodzm","1532553477362815156","1390600217052708906","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-31 01:00:22.853"
"cms4lymel015snf5fbq75nafd","1531633432562761841","1440026465893880040","1502898258610225304",,,,,"1342135704058204263","closed","2026-07-28 12:04:27.501"
"cms4qerry018inf5fimg39xnh","1531664774809653429","1524129472671121530","1502898258610225304",,,,,"1342135704058204263","closed","2026-07-28 14:08:59.423"
"cms4z7pgy01ugnf5fqrgotn9g","1531726794011447547","1527104218069078141","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-28 18:15:26.386"
"cms8ag6il004mzayf92wo2u41","1532566787680374955","1530624759715598407","1502898258610225304",,,,,"1522568928487014451","closed","2026-07-31 01:53:16.03"
"cms5w4jtz064rnf5fnwztd9pu","1531958657174995015","1255418019128021035","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-29 09:36:46.44"
"cmsc4yzx401pv9i57e6ybcl8z","1533542654229614696","823919581097754684","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-02 18:31:00.952"
"cms6g8j8f00e410eh95coyhti","1532100332883018018","1512509347849179217","1502898258610225304",,,,,"1342135704058204263","closed","2026-07-29 18:59:44.607"
"cms6fuwef00cw10ehkj5cufcv","1532097664974454946","1527454202794610723","1502898258610225304",,,,,"1342135704058204263","closed","2026-07-29 18:49:08.488"
"cms8crz9t00d6zayfwq2qtes6","1532583185932877976","1515071738054967410","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-31 02:58:25.745"
"cms6t1cqv01vg10eh7hfjmdx9","1532190510461227160","739148212606206113","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-30 00:58:04.615"
"cms6th6f701xc10eht0b6rzoy","1532193606994104361","1371613389691813960","1502898258610225304",,,,,"1522568928487014451","closed","2026-07-30 01:10:22.915"
"cms6tm3r901xo10ehjxsvdvyr","1532194570794827987","1433579732129026088","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-30 01:14:12.742"
"cms9qnvar01z0zayfb2abrxas","1532934622407557160","1155559684758048810","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-01 02:14:54.771"
"cms7o83ni01nfp7pv3m1bjh91","1532410219857055969","1517271344054538261","1502898258610225304",,,,,"1522568928487014451","closed","2026-07-30 15:31:07.518"
"cms7y1dyf00l15zri414xq06y","1532479354737660014","1513736341425225859","1502898258610225304",,,,,"1522568928487014451","closed","2026-07-30 20:05:50.44"
"cms7y1h2p00l25zrit3npjdax","1532479371649089588","1456499782984925236","1502898258610225304",,,,,,"closed","2026-07-30 20:05:54.481"
"cmsdyli2i01mt14h9vmz74z2c","1534004971719229591","1529176545132810312","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-04 01:08:05.946"
"cmsah3vok008koz9ln2563693","1533120920648945706","1360188758221127700","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-01 14:35:11.78"
"cms7yzx0n00wn5zrimybkwd78","1532486111719325947","1202749353614245900","1502898258610225304",,,,,"1342135704058204263","closed","2026-07-30 20:32:41.447"
"cms835iql016i5zrio9wurrku","1532515387550208114","1155559684758048810","1502898258610225304",,,,,"1527154150540841000","closed","2026-07-30 22:29:01.341"
"cmsc5ykhp01sr9i57mcjpu5hw","1533549616132391012","1527348992680136808","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-02 18:58:40.573"
"cmsam71cz00mpoz9lwa4kvsl6","1533156762969178276","1361050786049556653","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-01 16:57:37.187"
"cmsao7js500oeoz9lvacth95f","1533170952618377357","1531452172300976209","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-01 17:54:00.293"
"cmsd3kqiz00ds14h95ck9dywo","1533786432857047090","1250497327404159036","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-03 10:39:42.156"
"cmsb7zqsr012u9i572suwrq5a","1533310321899606177","1318632587220222048","1502898258610225304",,,,,"1527094211176828951","closed","2026-08-02 03:07:48.46"
"cmsb81awc013j9i57ac3n43to","1533310626947010723","1400148037053190175","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-02 03:09:01.164"
"cmsba8q7d01cp9i57bu22rwec","1533326169116508381","1512520526071857378","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-02 04:10:46.826"
"cmsfgjcl801sz2y1h7hjv3yue","1534384970855092244","1342135704058204263","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-05 02:18:04.796"
"cmsdg3k7p00fh14h93n7p8izu","1533874654547017798","1134682884544925837","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-03 16:30:15.829"
"cmsfaslw400v22y1himugzhzs","1534344513911263475","1514063502912917634","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-04 23:37:19.061"
"cmsdrqw3100ui14h9aot4558k","1533956712153747476","1521638105214619649","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-03 21:56:20.078"
"cmsdpmqzi00qp14h9fv0015i6","1533941812061012029","1524631033826508901","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-03 20:57:07.615"
"cmsfattog00v82y1h9rxozs76","1534344752256778280","1514063502912917634","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-04 23:38:15.808"
"cmsi1v77q00r656db9mxu5yni","1535042458747146301","1526680507461533767","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 21:50:41.99"
"cmsfgc1ml01s02y1ht3m55oz6","1534383541851394119","1028709819667980403","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-05 02:12:23.997"
"cmsfxkuz9026z2y1hr8oexkoy","1534505027996090368","1524129472671121530","1502898258610225304",,,,,"1527154150540841000","closed","2026-08-05 10:15:08.758"
"cmshom9ta000056dbj96vy2je","1534949128344309830","1530717992575434804","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-06 15:39:50.447"
"cmsi2al6q000zb3kohh1tvpbc","1535045469376352467","1528792874399961250","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 22:02:39.939"
"cmsi1rpg000q456db88yaov7r","1535041774114840790","1501320227026374869","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 21:47:58.992"
"cmsi2xe50004cb3kolpegvs0r","1535049932107681924","1530484465946857563","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 22:20:23.893"
"cmsi3zzuq00btb3kobn8vbpd4","1535057486695104573","1495177781485768854","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-06 22:50:24.962"
"cmsi5vl8f00f9b3ko6uk463r3","1535070712921067571","1531836892188774571","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 23:42:58.624"
"cmsi5rvzu00esb3kocy5fyewq","1535069989994762282","1527028277653274714","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 23:40:05.946"
"cmsi63ry600gub3ko97lnig1q","1535072316307021895","1535060720494972928","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-06 23:49:20.575"
"cmsi8j4d200vrb3kor14recko","1535089408401866762","1518067176983232647","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-07 00:57:15.735"
"cmsme2emx01y0y74jyn6et9e9","1536142860313825290","1428963429716201503","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-09 22:43:18.297"
"cmsica1te01rib3ko8rh63c8g","1535115812765958174","1404472671667884033","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-07 02:42:10.994"
"cmsie98or01z8b3koxvb2fs1s","1535129744268468317","1533622834843222096","1502898258610225304",,,,,"1510415733950255124","closed","2026-08-07 03:37:32.476"
"cmsp7mf0n0385xzfu5z0vzer4","1536858302766514238","1527094211176828951","1502898258610225304",,,,,,"closed","2026-08-11 22:06:13.127"
"cmsjqfe0c006hlc975a98qos6","1535469098685960262","1390600201705881613","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-08 02:06:00.876"
"cmsmmpfns02kwy74j6w6kftja","1536203725624840244","1533972704636440717","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-10 02:45:09.641"
"cmsjrx36000fklc972q4rbn0c","1535479606759395409","1400148037053190175","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-08 02:47:46.247"
"cmsjsoorr00i0lc97gvttrhv6","1535485007819317258","1512293017824792726","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-08 03:09:13.96"
"cmsjxo0p000lklc97r1hhxj8r","1535520100826873927","1199870885146927208","1502898258610225304",,,,,,"closed","2026-08-08 05:28:40.837"
"cmskjy37900oulc97zr9pnrgp","1535677057768357929","1189240950329974814","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-08 15:52:22.197"
"cmsne93j402sdy74j51jvfa9x","1536397782548619304","1524129472671121530","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-10 15:36:16.673"
"cmskkr00p00pdlc97nj41z0ok","1535682715523751946","1495177781485768854","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-08 16:14:51.098"
"cmsnj7rjx02uzy74jolt70j1i","1536432746673471669","1526703312785641573","1502898258610225304",,,,,"1522568928487014451","closed","2026-08-10 17:55:12.573"
"cmsl17k0r01uwfdfwlzme35rc","1535798672380657754","1432451435370647683","1502898258610225304",,,,,"1342135704058204263","closed","2026-08-08 23:55:37.372"
